EPIC,magnitude,module,submodule,gini,spike,PSD_m_above_noise,PSD_m_below_noise
220668434.0,16.369,10.0,0.0,0.7134020103313387,1.932334459886185,-1.0864127405030783,-0.29746163370613743
220669147.0,13.679,10.0,0.0,0.8998675642989759,3.038462912038621,-0.88498310011555,-0.808708949749961
220669365.0,17.79,10.0,0.0,0.4821846200731672,1.358397931575354,-1.4841037712170804,-0.1568608181243957
220669550.0,16.829,10.0,0.0,0.6989964595733279,1.7546284200431421,-1.501622456671386,-0.14921664805813623
220670869.0,13.221,10.0,0.0,0.9105618056218981,2.136291202898898,-1.018122191921196,-1.2803515034086068
220671341.0,13.774,10.0,0.0,0.8987116233302528,2.7528073522602106,-1.1712829863210334,-0.8025488726955611
220673544.0,14.714,10.0,0.0,0.8533788970778343,2.5805928335206048,-0.8517529132203786,-0.9574296544700569
220673828.0,15.51,10.0,0.0,0.782464439488797,2.800800409502489,-0.6295728268408812,-1.4064144042861384
220673939.0,14.48,10.0,0.0,0.8802556249547127,3.510520939609661,-1.0568550783694528,-1.5148627695644337
220674047.0,12.888,10.0,0.0,0.8765495869461215,1.9109791476696445,-1.0858846274428804,-1.160209221018982
220674635.0,17.112,10.0,0.0,0.6431566100112971,1.409110368104121,-1.533275619847251,-0.10405362569606616
220674927.0,17.342,10.0,0.0,0.5159566161694475,2.681748102318818,-1.0877715678361695,-0.5062578730556871
220675354.0,15.985,10.0,0.0,0.8396974561140457,2.4964709014156763,-0.916823286379786,-0.5997070921369987
220675848.0,15.907,10.0,0.0,0.7811388701113815,1.0422795446182718,-1.634179530629954,-0.34060039022895466
220676899.0,14.543,10.0,0.0,0.943407001548546,3.4746679088784793,-0.4819865127565243,-1.3375087656533853
220676900.0,11.628,10.0,0.0,0.927047864057121,3.2599249707226945,-0.9376730099824123,-1.6425902126114935
220677031.0,10.584,10.0,0.0,0.9431030295733994,2.304365230153096,-1.2868056834531267,-1.1795888303076958
220677352.0,11.281,10.0,0.0,0.9425369696227025,3.9353526900291147,-0.6955228655679992,-2.0576140072671665
220677456.0,15.992,10.0,0.0,0.7418978837593114,1.627867300242893,-1.3848528622503826,-0.3717235987458006
220677905.0,16.526,10.0,0.0,0.6494618544113471,1.080658738726962,-1.5739412974664126,-0.23360666842297018
220678179.0,13.357,10.0,0.0,0.8995696479187031,2.3348292101585075,-1.2441021865834496,-0.8417926972100855
220678499.0,15.911,10.0,0.0,0.8170058999121748,0.09987340513964046,-1.511823309105147,-0.17665528521841273
220678893.0,13.543,10.0,0.0,0.896188456141718,3.280691508636243,-1.1004941014423326,-1.2964319355560552
