EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW,ZSPEC
220173631,12.7601519,-1.045747,18.146,GO8005_LC|GO8052_LC,75.0,c8_lcs/220173631.png,22.0,943.0,290.0,1.888838
220516579,19.8180904,7.147625,19.051,GO8052_LC,24.0,c8_lcs/220516579.png,8.0,683.0,124.0,0.672271
220545253,10.350729,7.7817421,19.356,GO8052_LC,70.0,c8_lcs/220545253.png,20.0,671.0,916.0,2.876227
220224214,13.1351662,0.856442,18.625,GO8052_LC,73.0,c8_lcs/220224214.png,22.0,73.0,582.0,0.408729
220224988,16.2887096,0.882956,18.712,GO8005_LC|GO8052_LC,59.0,c8_lcs/220224988.png,17.0,866.0,470.0,0.651448
220212788,20.4488888,0.455206,19.177,GO8052_LC,35.0,c8_lcs/220212788.png,11.0,609.0,556.0,2.210071
220205720,15.5245552,0.199186,17.15,GO8001_LC|GO8005_LC|GO8052_LC,60.0,c8_lcs/220205720.png,17.0,422.0,367.0,0.725267
220210247,15.1396589,0.366713,18.709,GO8005_LC|GO8006_LC|GO8052_LC,60.0,c8_lcs/220210247.png,17.0,231.0,697.0,0.753198
220212670,20.0505714,0.450912,19.071,GO8052_LC,35.0,c8_lcs/220212670.png,11.0,905.0,762.0,0.647628
220211159,11.5562057,0.399463,18.906,GO8052_LC,79.0,c8_lcs/220211159.png,23.0,67.0,175.0,2.125004
220212877,13.5832024,0.457628,18.376,GO8052_LC,73.0,c8_lcs/220212877.png,22.0,603.0,464.0,2.513885
220230533,11.556407,1.073814,17.974,GO8001_LC|GO8005_LC|GO8052_LC,79.0,c8_lcs/220230533.png,23.0,559.0,529.0,2.148934
220218833,16.4313602,0.667634,18.225,GO8005_LC|GO8052_LC,59.0,c8_lcs/220218833.png,17.0,875.0,237.0,1.074319
220193243,19.9553318,-0.261676,19.38,GO8052_LC,36.0,c8_lcs/220193243.png,11.0,865.0,286.0,1.816211
220184207,13.1051273,-0.617961,18.693,GO8052_LC,75.0,c8_lcs/220184207.png,22.0,1075.0,770.0,1.40376
220179771,18.5098877,-0.797495,18.666,GO8052_LC,55.0,c8_lcs/220179771.png,16.0,122.0,647.0,0.350158
220180147,18.3072796,-0.783557,18.761,GO8052_LC,55.0,c8_lcs/220180147.png,16.0,264.0,764.0,1.011815
220171966,12.8970289,-1.1192991,18.417,GO8005_LC|GO8052_LC,75.0,c8_lcs/220171966.png,22.0,817.0,352.0,1.570344
220235926,14.5596504,1.258374,18.347,GO8005_LC|GO8052_LC,57.0,c8_lcs/220235926.png,17.0,276.0,496.0,2.508119
220235527,10.812973,1.245959,17.607,GO8001_LC|GO8005_LC|GO8052_LC,79.0,c8_lcs/220235527.png,23.0,1080.0,76.0,1.569021
220226374,22.0456581,0.931716,18.089,GO8005_LC|GO8052_LC,16.0,c8_lcs/220226374.png,6.0,462.0,69.0,0.816641
220220757,19.9520683,0.732322,18.604,GO8052_LC,35.0,c8_lcs/220220757.png,11.0,830.0,1021.0,1.753165
220178559,16.2839909,-0.844894,18.503,GO8005_LC|GO8052_LC,53.0,c8_lcs/220178559.png,16.0,429.0,369.0,1.596379
220227863,18.8901272,0.982843,18.298,GO8005_LC|GO8052_LC,33.0,c8_lcs/220227863.png,11.0,734.0,395.0,1.396083
220176624,18.5716076,-0.92192,18.103,GO8005_LC|GO8052_LC,55.0,c8_lcs/220176624.png,16.0,142.0,523.0,0.854242
220191502,13.8492212,-0.32821,18.566,GO8005_LC|GO8052_LC,74.0,c8_lcs/220191502.png,22.0,893.0,685.0,1.817934
220185866,13.895916,-0.549536,18.846,GO8052_LC,74.0,c8_lcs/220185866.png,22.0,706.0,768.0,2.036432
220211954,15.9280577,0.427038,17.406,GO8001_LC|GO8005_LC|GO8052_LC,60.0,c8_lcs/220211954.png,17.0,840.0,322.0,0.394471
220191716,16.904274,-0.319871,18.627,GO8005_LC|GO8052_LC,54.0,c8_lcs/220191716.png,16.0,1051.0,310.0,0.737772
220185768,16.4197102,-0.553837,17.81,GO8001_LC|GO8052_LC,53.0,c8_lcs/220185768.png,16.0,680.0,223.0,1.17895
220184071,17.1117725,-0.623413,17.844,GO8001_LC|GO8005_LC|GO8052_LC,54.0,c8_lcs/220184071.png,16.0,1055.0,639.0,1.374364
220173771,16.3087864,-1.0397151,19.161,GO8052_LC,53.0,c8_lcs/220173771.png,16.0,345.0,526.0,0.548223
220176915,13.2643738,-0.910263,18.471,GO8005_LC|GO8052_LC,75.0,c8_lcs/220176915.png,22.0,776.0,732.0,1.170818
220181935,13.7284594,-0.712199,18.336,GO8005_LC|GO8052_LC,74.0,c8_lcs/220181935.png,22.0,675.0,977.0,2.22835
220213949,13.9534988,0.494356,18.714,GO8052_LC,73.0,c8_lcs/220213949.png,22.0,772.0,173.0,0.448649
220175559,17.2292747,-0.963088,17.951,GO8001_LC|GO8005_LC|GO8052_LC,53.0,c8_lcs/220175559.png,16.0,1059.0,949.0,1.675782
220207878,15.0096464,0.278469,17.594,GO8001_LC|GO8005_LC|GO8006_LC|GO8052_LC,60.0,c8_lcs/220207878.png,17.0,85.0,697.0,0.778977
220209516,19.4951668,0.33931,18.311,GO8005_LC|GO8052_LC,36.0,c8_lcs/220209516.png,11.0,842.0,971.0,0.613226
220235246,21.7605095,1.236812,17.948,GO8001_LC|GO8052_LC,16.0,c8_lcs/220235246.png,6.0,407.0,439.0,1.157028
220175772,13.1841717,-0.955918,18.742,GO8052_LC,75.0,c8_lcs/220175772.png,22.0,785.0,649.0,0.756709
220200640,13.671669,0.019649,18.376,GO8005_LC|GO8052_LC,73.0,c8_lcs/220200640.png,22.0,972.0,631.0,0.651171
220216746,13.0231848,0.593951,17.024,GO8001_LC|GO8005_LC|GO8052_LC,73.0,c8_lcs/220216746.png,22.0,203.0,799.0,0.399714
