EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW
220136961,17.4101944,-2.4145939,17.755, GO8070_LC,56,c8_lcs/220136961.png,16,430,36
220138376,17.248148,-2.3536229,17.855, GO8070_LC,56,c8_lcs/220138376.png,16,344,166
220138441,17.2839375,-2.3505249,16.656, GO8070_LC,56,c8_lcs/220138441.png,16,371,149
220138882,17.4661751,-2.3315971,16.659, GO8070_LC,56,c8_lcs/220138882.png,16,516,67
220139251,17.2425499,-2.316777,16.951, GO8070_LC,56,c8_lcs/220139251.png,16,359,196
220139824,16.8907108,-2.295373,16.156, GO8070_LC,56,c8_lcs/220139824.png,16,111,397
220143686,16.6950436,-2.1307869,17.068, GO8070_LC,56,c8_lcs/220143686.png,16,54,621
220143837,16.6396809,-2.1242869,17.588, GO8070_LC,56,c8_lcs/220143837.png,16,17,655
220144656,17.8093987,-2.0916209,16.97, GO8070_LC,56,c8_lcs/220144656.png,16,895,63
220145014,16.6583862,-2.077527,16.787, GO8070_LC,56,c8_lcs/220145014.png,16,55,680
220145551,17.7678585,-2.056967,17.552, GO8070_LC,56,c8_lcs/220145551.png,16,882,111
220145761,16.6964359,-2.048964,16.56, GO8070_LC|GO8042_LC,56,c8_lcs/220145761.png,16,98,681
220146329,16.8516159,-2.0280631,16.765, GO8070_LC,56,c8_lcs/220146329.png,16,223,614
220146916,17.6116867,-2.007174,16.533, GO8070_LC,56,c8_lcs/220146916.png,16,793,230
220146949,16.5739555,-2.0057631,17.196, GO8070_LC,56,c8_lcs/220146949.png,16,31,777
220147002,16.5797443,-2.003691,16.347, GO8070_LC,56,c8_lcs/220147002.png,16,36,775
220147180,16.7487926,-1.996375,17.152, GO8070_LC,56,c8_lcs/220147180.png,16,165,692
220147311,17.0811787,-1.9915611,17.322, GO8070_LC,56,c8_lcs/220147311.png,16,411,520
220147457,16.5494461,-1.985641,17.308, GO8070_LC,56,c8_lcs/220147457.png,16,23,805
220147635,13.117527,-1.9791059,15.106, GO8070_LC,75,c8_lcs/220147635.png,22,69,57
220147676,17.5575771,-1.977434,15.626, GO8070_LC,56,c8_lcs/220147676.png,16,770,280
220148010,16.5824146,-1.9647,17.46, GO8070_LC,56,c8_lcs/220148010.png,16,59,803
220148345,16.6362877,-1.9522671,17.721, GO8070_LC,56,c8_lcs/220148345.png,16,105,783
220148479,17.1754017,-1.946439,16.291, GO8070_LC,56,c8_lcs/220148479.png,16,505,504
220148485,16.5912495,-1.946281,16.996, GO8070_LC,56,c8_lcs/220148485.png,16,75,812
220148939,18.1099491,-1.929909,17.945, GO8070_LC,55,c8_lcs/220148939.png,16,1015,24
220148956,16.7111473,-1.929279,17.827, GO8070_LC,56,c8_lcs/220148956.png,16,172,761
220149103,16.9446163,-1.9232889,16.741, GO8070_LC,56,c8_lcs/220149103.png,16,347,643
220149240,17.515419,-1.918739,15.917, GO8070_LC,56,c8_lcs/220149240.png,16,769,345
220149266,17.1608696,-1.917853,16.516, GO8070_LC,56,c8_lcs/220149266.png,16,509,533
220149426,16.6046047,-1.912517,17.604, GO8070_LC,56,c8_lcs/220149426.png,16,102,830
220150014,17.4295387,-1.893278,17.452, GO8070_LC,56,c8_lcs/220150014.png,16,719,409
220150174,16.9089737,-1.887262,15.872, GO8070_LC,56,c8_lcs/220150174.png,16,340,688
220150324,16.6401215,-1.882206,16.857, GO8070_LC,56,c8_lcs/220150324.png,16,145,833
220150503,13.0938711,-1.8756289,17.409, GO8070_LC,75,c8_lcs/220150503.png,22,157,95
220151521,17.1271954,-1.840247,17.519, GO8070_LC,56,c8_lcs/220151521.png,16,525,608
220151608,17.1152744,-1.837379,16.932, GO8070_LC,56,c8_lcs/220151608.png,16,518,616
220151882,17.8559361,-1.828863,16.139, GO8070_LC,56,c8_lcs/220151882.png,16,1067,232
220152104,17.8256226,-1.820624,17.545, GO8070_LC,56,c8_lcs/220152104.png,16,1050,255
220152981,13.2462349,-1.786913,15.494, GO8070_LC,75,c8_lcs/220152981.png,22,142,254
220153235,17.1542339,-1.776806,17.064, GO8070_LC,56,c8_lcs/220153235.png,16,579,640
220153468,16.903141,-1.76844,16.607, GO8070_LC,56,c8_lcs/220153468.png,16,398,778
220153620,17.2024403,-1.76241,17.243, GO8070_LC,56,c8_lcs/220153620.png,16,621,625
220154404,17.2934856,-1.734197,17.879, GO8070_LC,56,c8_lcs/220154404.png,16,704,598
220154583,16.5437832,-1.727602,16.288, GO8070_LC,56,c8_lcs/220154583.png,16,155,998
220154753,18.11866,-1.722062,17.943, GO8070_LC,55,c8_lcs/220154753.png,16,898,172
220155309,18.3305588,-1.700552,16.685, GO8070_LC,55,c8_lcs/220155309.png,16,731,77
220156024,16.9811115,-1.676332,15.775, GO8070_LC,56,c8_lcs/220156024.png,16,504,805
220156144,16.9860287,-1.671904,16.887, GO8070_LC,56,c8_lcs/220156144.png,16,510,806
220156324,13.0233002,-1.665316,17.688, GO8070_LC,75,c8_lcs/220156324.png,22,350,155
220156512,13.6140985,-1.658868,17.567, GO8070_LC,75,c8_lcs/220156512.png,22,41,592
220156587,16.7098064,-1.656082,17.202, GO8070_LC,56,c8_lcs/220156587.png,16,315,963
220156591,13.6267595,-1.655926,17.24, GO8070_LC,75,c8_lcs/220156591.png,22,37,603
220156644,18.2105904,-1.654055,16.174, GO8070_LC,55,c8_lcs/220156644.png,16,794,174
220156724,17.3754597,-1.651489,15.829, GO8070_LC,56,c8_lcs/220156724.png,16,807,616
220156732,16.9217625,-1.651227,15.688, GO8070_LC,56,c8_lcs/220156732.png,16,474,855
220156997,16.9627457,-1.642126,16.895, GO8070_LC,56,c8_lcs/220156997.png,16,509,840
220158230,13.6631489,-1.600641,16.864, GO8070_LC|GO8042_LC,75,c8_lcs/220158230.png,22,59,659
220158416,13.0909929,-1.594607,17.307, GO8070_LC,75,c8_lcs/220158416.png,22,365,242
220158647,17.8638477,-1.587762,17.79, GO8070_LC,55,c8_lcs/220158647.png,16,1015,406
220158778,17.8578262,-1.5838521,16.274, GO8070_LC,55,c8_lcs/220158778.png,16,1017,412
220158974,18.4258633,-1.5776629,17.208, GO8070_LC,55,c8_lcs/220158974.png,16,596,117
220159032,13.1085081,-1.575559,17.644, GO8070_LC,75,c8_lcs/220159032.png,22,370,265
220159064,13.6708755,-1.574591,15.97, GO8070_LC,75,c8_lcs/220159064.png,22,73,678
220159075,13.6615887,-1.574126,15.396, GO8070_LC,75,c8_lcs/220159075.png,22,79,672
220159126,17.4524879,-1.5725271,17.067, GO8070_LC,56,c8_lcs/220159126.png,16,905,633
220159398,17.2372761,-1.563277,17.775, GO8070_LC,56,c8_lcs/220159398.png,16,752,754
220159939,13.4242792,-1.544735,17.83, GO8070_LC,75,c8_lcs/220159939.png,22,225,513
220159950,17.420517,-1.544446,16.534, GO8070_LC,56,c8_lcs/220159950.png,16,897,671
220159971,17.1625595,-1.5438811,17.374, GO8070_LC,56,c8_lcs/220159971.png,16,708,807
220160073,17.4792633,-1.540422,17.378, GO8070_LC,56,c8_lcs/220160073.png,16,943,643
220160530,13.213459,-1.526209,16.012, GO8070_LC,75,c8_lcs/220160530.png,22,351,368
220160677,17.443161,-1.521342,16.93, GO8070_LC,56,c8_lcs/220160677.png,16,926,676
220160817,13.8299217,-1.517056,17.844, GO8070_LC,75,c8_lcs/220160817.png,22,32,826
220160876,13.4244757,-1.515376,16.608, GO8070_LC,75,c8_lcs/220160876.png,22,247,529
220160911,13.8174438,-1.514138,16.974, GO8070_LC|GO8042_LC,75,c8_lcs/220160911.png,22,40,818
220161087,16.5118999,-1.508077,17.317, GO8070_LC,53,c8_lcs/220161087.png,16,248,978
220161464,13.653986,-1.496087,17.002, GO8070_LC,75,c8_lcs/220161464.png,22,141,708
220161748,17.5850391,-1.4870811,17.906, GO8070_LC,56,c8_lcs/220161748.png,16,1048,627
220161803,17.1007729,-1.484984,17.698, GO8070_LC,56,c8_lcs/220161803.png,16,693,883
220161832,13.8897247,-1.483688,17.599, GO8070_LC,75,c8_lcs/220161832.png,22,24,887
220162737,12.9014902,-1.45531,17.825, GO8070_LC,75,c8_lcs/220162737.png,22,569,177
220162818,13.7324438,-1.452842,15.834, GO8070_LC,75,c8_lcs/220162818.png,22,130,788
220162982,18.4236755,-1.447616,16.636, GO8070_LC,55,c8_lcs/220162982.png,16,529,214
220163051,18.7577667,-1.445296,16.749, GO8070_LC|GO8042_LC,55,c8_lcs/220163051.png,16,282,39
220163278,13.4380741,-1.437867,17.916, GO8070_LC,75,c8_lcs/220163278.png,22,297,580
220163630,17.8199844,-1.426546,17.822, GO8070_LC,55,c8_lcs/220163630.png,16,962,548
220163813,13.91259,-1.420898,17.822, GO8070_LC,75,c8_lcs/220163813.png,22,58,937
220164004,13.8771439,-1.414282,15.643, GO8070_LC,75,c8_lcs/220164004.png,22,82,914
220164113,13.6399717,-1.410956,17.951, GO8070_LC,75,c8_lcs/220164113.png,22,210,742
220164327,13.9256029,-1.404125,17.701, GO8070_LC,75,c8_lcs/220164327.png,22,64,956
220164367,18.4380417,-1.402964,16.824, GO8070_LC,55,c8_lcs/220164367.png,16,495,239
220164441,13.7850046,-1.4000061,17.501, GO8070_LC,75,c8_lcs/220164441.png,22,142,855
220164449,13.9394522,-1.3997459,16.854, GO8070_LC,75,c8_lcs/220164449.png,22,59,968
220164734,17.9709206,-1.391505,16.862, GO8070_LC,55,c8_lcs/220164734.png,16,832,494
220164820,13.7059383,-1.388648,15.407, GO8070_LC,75,c8_lcs/220164820.png,22,192,803
220164964,13.8577957,-1.383899,16.736, GO8070_LC,75,c8_lcs/220164964.png,22,115,917
220165225,17.4690685,-1.376479,17.699, GO8070_LC,56,c8_lcs/220165225.png,16,1021,769
220165349,13.1055641,-1.372494,17.65, GO8070_LC,75,c8_lcs/220165349.png,22,522,371
220165763,13.9689169,-1.3589129,17.739, GO8070_LC,75,c8_lcs/220165763.png,22,74,1011
220165960,13.8390217,-1.352285,15.362, GO8070_LC,75,c8_lcs/220165960.png,22,147,919
220166119,18.8728199,-1.347237,16.583, GO8070_LC,55,c8_lcs/220166119.png,16,145,50
220166147,13.2990217,-1.346529,17.423, GO8070_LC,75,c8_lcs/220166147.png,22,437,526
220166330,13.7274942,-1.340735,16.93, GO8070_LC,75,c8_lcs/220166330.png,22,216,844
220166533,17.5340958,-1.334482,17.187, GO8070_LC,56,c8_lcs/220166533.png,16,1091,766
220167022,13.764864,-1.317591,16.525, GO8070_LC,75,c8_lcs/220167022.png,22,213,884
220167141,16.0743141,-1.314041,16.882, GO8070_LC|GO8042_LC,53,c8_lcs/220167141.png,16,29,604
220167259,14.1047468,-1.3103189,17.867, GO8070_LC,74,c8_lcs/220167259.png,22,38,1018
220167311,13.2418728,-1.308697,17.68, GO8070_LC,75,c8_lcs/220167311.png,22,496,504
220167312,13.095499,-1.308696,16.658, GO8070_LC,75,c8_lcs/220167312.png,22,574,397
220167331,18.8093109,-1.308157,16.426, GO8070_LC|GO8042_LC,55,c8_lcs/220167331.png,16,171,113
220167658,13.3337765,-1.29795,15.513, GO8070_LC,75,c8_lcs/220167658.png,22,455,577
220167678,13.8784924,-1.297128,16.845, GO8070_LC,75,c8_lcs/220167678.png,22,168,978
